,9-Jan,16-Jan,22-Jan,29-Jan,5-Feb,12-Feb,19-Feb,26-Feb,5-Mar,12-Mar,19-Mar,26-Mar,2-Apr,9-Apr,16-Apr,23-Apr,1-May,8-May,15-May,22-May,29-May,5-Jun,12-Jun,19-Jun,26-Jun,3-Jul,10-Jul,17-Jul,24-Jul,31-Jul,7-Aug,14-Aug,21-Aug,28-Aug,4-Sep,11-Sep,18-Sep,25-Sep,2-Oct,9-Oct,16-Oct,23-Oct,30-Oct,6-Nov,13-Nov,20-Nov,27-Nov,4-Dec,11-Dec,18-Dec,25-Dec
Banana Chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,3,2,2,3,2,1,3,2,1,3
Butter Pecan,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,4,1,1,2,2,,1,2,1,1,1,2,1,1,5,1,1,2,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,2,2,2
Birthday Cake,7,7,6,9,9,12,12,12,8,5,10,8,8,sold out,sold out,sold out,4,12,10,12,,12,9,8,7,8,8,11,9,9,8,8,6,6,7,7,7,7,7,7,5,5,4,6,5,9,5,7,6,7,5
Bubble Gum,2,2,2,3,4,3,3,3,4,1,4,2,3,sold out,sold out,sold out,2,4,3,5,,3,3,3,4,sold out,sold out,4,3,5,3,4,3,3,5,4,sold out,sold out,1,3,2,3,2,3,4,4,2,1,5,3,6
 Caramel  ,6,4,4,7,6,9,7,8,8,3,8,6,7,6,8,7,5,7,7,10,,5,5,8,8,6,8,7,7,5,7,6,6,4,5,6,9,6,4,5,5,5,3,4,8,6,3,7,6,7,7
Chocolate Chip,2,1,2,2,1,2,2,2,2,1,2,2,3,3,3,3,2,2,3,3,,4,2,1,2,3,3,2,4,2,3,2,1,2,1,1,2,2,3,2,1,1,2,1,1,2,2,1,3,2,2
Chocolate,4,5,4,7,6,12,7,10,6,3,7,5,7,7,7,11,6,10,8,10,,4,7,8,6,4,sold out,7,6,8,7,6,6,4,5,6,5,6,5,5,4,3,4,5,5,6,5,5,5,8,8
Coconut,1,2,2,4,3,4,4,2,4,2,4,1,sold out,sold out,sold out,sold out,3,4,4,5,,6,4,2,3,2,3,4,4,3,3,3,3,2,3,2,,2,2,2,2,1,2,2,1,2,1,1,3,4,3
Coffee,2,3,3,3,4,5,5,4,3,2,5,4,5,3,1,sold out,3,3,5,6,,4,4,4,3,6,6,3,4,2,3,4,4,2,3,3,4,3,2,4,2,3,2,5,4,2,3,3,4,5,4
Ginger/ Chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,2,1,1,1,1,1,1,1,2,1
Fudge Supreme,5,4,4,4,5,6,4,6,3,4,6,4,4,5,4,sold out,4,4,6,7,,4,5,4,4,5,6,5,6,5,4,4,6,3,3,4,4,5,3,5,4,3,3,4,4,4,3,3,4,6,4
Lemon,5,5,4,5,5,7,7,4,6,4,5,6,6,7,6,10,2,8,5,7,,2,7,7,3,sold out,sold out,5,6,6,6,5,5,5,5,4,5,3,2,4,2,4,3,4,3,5,2,3,5,7,4
Mango,2,3,3,3,3,3,3,3,2,3,5,5,4,3,3,3,1,4,4,2,,6,4,3,3,4,sold out,4,3,4,2,3,sold out,sold out,sold out,sold out,sold out,,2,2,2,1,1,2,2,1,3,2,2,2,2
Mint Chocolate Chip,2,2,2,2,3,3,3,2,2,3,5,3,3,2,3,3,2,5,2,2,,1,2,2,1,2,2,2,2,1,2,2,2,1,2,2,2,3,2,2,1,1,1,2,3,2,2,1,2,2,3
Orange,2,2,1,3,2,2,2,1,2,1,2,1,3,2,2,3,2,7,3,2,,9,3,2,1,3,3,1,2,2,2,2,3,2,1,1,2,2,2,1,1,1,1,2,1,1,1,1,2,2,3
Pistachio,4,4,2,5,3,7,5,4,5,3,4,5,4,4,5,7,4,2,5,9,,5,5,3,5,6,sold out,6,6,4,5,4,4,4,6,5,5,4,3,4,3,4,2,3,4,5,5,3,5,7,6
Praline Pecan,1,1,1,3,3,2,1,1,2,1,3,2,1,2,3,3,,6,2,4,,2,1,3,1,3,3,3,2,2,1,2,3,2,1,1,2,2,1,1,1,2,1,1,2,3,2,1,2,1,3
Raspberry,4,5,4,6,5,5,5,11,5,3,5,5,6,6,6,8,6,8,6,10,,5,6,4,5,4,4,5,5,6,5,7,5,6,4,6,5,4,3,3,3,3,2,3,5,3,4,4,4,7,7
Red Velvet Chocolate,5,6,5,6,9,8,8,10,5,3,6,5,7,5,sold out,sold out,2,5,7,9,,5,5,7,6,2,sold out,7,7,7,5,5,5,4,6,5,7,5,4,4,3,4,3,6,4,7,5,5,6,7,8
Rocky Road,2,2,2,3,3,6,3,4,3,2,5,2,3,3,4,6,2,5,3,5,,5,3,2,2,3,3,4,3,2,2,3,3,2,2,3,3,2,3,2,3,2,2,3,2,3,4,1,5,3,4
